s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 4.5623960E+000, 4.8558931E+002,-1.2114798E+002,-5.8346654E-002,-2.5204820E+001,-3.1049022E-002, 1.3642795E+002, 0.0000000E+000, 4.7596768E+002, 4.7557506E+002, 0.0000000E+000, 1.1240113E-002, 0.0000000E+000, 8.2755491E+003
 4.5975852E+000, 4.8594799E+002,-1.2267865E+002,-5.8382239E-002,-2.5273905E+001,-3.1076195E-002, 1.3574688E+002, 0.0000000E+000, 4.7409481E+002, 4.7365286E+002, 0.0000000E+000, 1.1240261E-002, 0.0000000E+000, 8.3505905E+003
 4.6239772E+000, 4.8899079E+002,-1.2310266E+002,-5.7687960E-002,-2.5293163E+001,-3.1093636E-002, 1.3593753E+002, 0.0000000E+000, 4.7493312E+002, 4.7644372E+002, 0.0000000E+000, 1.1240402E-002, 0.0000000E+000, 8.4068262E+003
 4.6503692E+000, 4.8945385E+002,-1.2326136E+002,-5.8508826E-002,-2.5281052E+001,-3.1111021E-002, 1.3619710E+002, 0.0000000E+000, 4.7750660E+002, 4.7701892E+002, 0.0000000E+000, 1.1240515E-002, 0.0000000E+000, 8.4632706E+003
 4.6855588E+000, 4.9082983E+002,-1.2420895E+002,-5.8463306E-002,-2.5239601E+001,-3.1093693E-002, 1.3627663E+002, 0.0000000E+000, 4.7754889E+002, 4.7756836E+002, 0.0000000E+000, 1.1240640E-002, 0.0000000E+000, 8.5385347E+003
 4.7110577E+000, 4.9467769E+002,-1.2617785E+002,-5.8222792E-002,-2.5196159E+001,-3.1074391E-002, 1.3670755E+002, 0.0000000E+000, 4.7811847E+002, 4.7992193E+002, 0.0000000E+000, 1.1240755E-002, 0.0000000E+000, 8.5931394E+003
 4.7426744E+000, 4.9322489E+002,-1.2564913E+002,-5.8719183E-002,-2.5223029E+001,-3.0988614E-002, 1.3686474E+002, 0.0000000E+000, 4.8012234E+002, 4.7912776E+002, 0.0000000E+000, 1.1240856E-002, 0.0000000E+000, 8.6611193E+003
 4.7742910E+000, 4.9318235E+002,-1.2558552E+002,-5.8340353E-002,-2.5339436E+001,-3.0969661E-002, 1.3626998E+002, 0.0000000E+000, 4.7801849E+002, 4.7843806E+002, 0.0000000E+000, 1.1240964E-002, 0.0000000E+000, 8.7287407E+003
 4.8059077E+000, 4.9707242E+002,-1.2686672E+002,-5.8519129E-002,-2.5504063E+001,-3.0967440E-002, 1.3694541E+002, 0.0000000E+000, 4.8130346E+002, 4.8155756E+002, 0.0000000E+000, 1.1241064E-002, 0.0000000E+000, 8.7966819E+003
 4.8375249E+000, 5.0325806E+002,-1.3000547E+002,-5.8413796E-002,-2.5663688E+001,-3.1056330E-002, 1.3799004E+002, 0.0000000E+000, 4.8385319E+002, 4.8548947E+002, 0.0000000E+000, 1.1241159E-002, 0.0000000E+000, 8.8650269E+003
 4.8628182E+000, 5.0866373E+002,-1.3114780E+002,-5.8650449E-002,-2.5757213E+001,-3.1147313E-002, 1.3990971E+002, 0.0000000E+000, 4.9064119E+002, 4.9157862E+002, 0.0000000E+000, 1.1241240E-002, 0.0000000E+000, 8.9205113E+003
 4.8975968E+000, 5.1828815E+002,-1.3402551E+002,-5.7898830E-002,-2.5789598E+001,-3.1244213E-002, 1.4221898E+002, 0.0000000E+000, 4.9604258E+002, 5.0060288E+002, 0.0000000E+000, 1.1241319E-002, 0.0000000E+000, 8.9977648E+003
 4.9236803E+000, 5.2658608E+002,-1.3459571E+002,-5.8224851E-002,-2.5778322E+001,-3.1331406E-002, 1.4598451E+002, 0.0000000E+000, 5.1158020E+002, 5.1210700E+002, 0.0000000E+000, 1.1241395E-002, 0.0000000E+000, 9.0574758E+003
 4.9584589E+000, 5.3108788E+002,-1.3547308E+002,-5.8121528E-002,-2.5734320E+001,-3.1369797E-002, 1.4777791E+002, 0.0000000E+000, 5.1791014E+002, 5.1756890E+002, 0.0000000E+000, 1.1241467E-002, 0.0000000E+000, 9.1381507E+003
 4.9845428E+000, 5.3084855E+002,-1.3485511E+002,-5.7993798E-002,-2.5712746E+001,-3.1498181E-002, 1.4800511E+002, 0.0000000E+000, 5.1666810E+002, 5.1819631E+002, 0.0000000E+000, 1.1241534E-002, 0.0000000E+000, 9.1986555E+003
 5.0106268E+000, 5.2237881E+002,-1.3255989E+002,-5.7984055E-002,-2.5750809E+001,-3.1513710E-002, 1.4692772E+002, 0.0000000E+000, 5.1369500E+002, 5.1090633E+002, 0.0000000E+000, 1.1241589E-002, 0.0000000E+000, 9.2589681E+003
 5.0454049E+000, 5.1428333E+002,-1.2603458E+002,-5.7668544E-002,-2.5867617E+001,-3.1486268E-002, 1.4580503E+002, 0.0000000E+000, 5.0778158E+002, 5.0809700E+002, 0.0000000E+000, 1.1241649E-002, 0.0000000E+000, 9.3385845E+003
 5.0714889E+000, 5.2300617E+002,-1.3003553E+002,-5.7294308E-002,-2.6053685E+001,-3.1505134E-002, 1.4659986E+002, 0.0000000E+000, 5.1036768E+002, 5.1342802E+002, 0.0000000E+000, 1.1241705E-002, 0.0000000E+000, 9.3984382E+003
 5.1062675E+000, 5.2967614E+002,-1.3026957E+002,-5.8111566E-002,-2.6289108E+001,-3.1518262E-002, 1.4895978E+002, 0.0000000E+000, 5.1982218E+002, 5.2198762E+002, 0.0000000E+000, 1.1241758E-002, 0.0000000E+000, 9.4795745E+003
 5.1323514E+000, 5.3956650E+002,-1.3284964E+002,-5.7563172E-002,-2.6521134E+001,-3.1493385E-002, 1.5190273E+002, 0.0000000E+000, 5.2919473E+002, 5.3200940E+002, 0.0000000E+000, 1.1241808E-002, 0.0000000E+000, 9.5415759E+003
 5.1635456E+000, 5.3942543E+002,-1.3213077E+002,-5.8503368E-002,-2.6711452E+001,-3.1421832E-002, 1.5303890E+002, 0.0000000E+000, 5.3471516E+002, 5.3353218E+002, 0.0000000E+000, 1.1241852E-002, 0.0000000E+000, 9.6165639E+003
